In 219 List,Facility ID,Facility Name,Address,City/Town,State,ZIP Code,County/Parish,Telephone Number,Measure ID,Measure Name,Compared to National,Denominator,Score,Lower Estimate,Higher Estimate,Number of Patients,Number of Patients Returned,Footnote,Start Date,End Date
YES,330199,METROPOLITAN HOSPITAL CENTER,1901 FIRST AVENUE,NEW YORK,NY,10029,NEW YORK,(212) 423-6262,EDAC_30_PN,Hospital return days for pneumonia patients,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1,07/01/2021,06/30/2024
YES,330199,METROPOLITAN HOSPITAL CENTER,1901 FIRST AVENUE,NEW YORK,NY,10029,NEW YORK,(212) 423-6262,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),No Different Than the National Rate,127,15.1,13.2,17.3,Not Applicable,Not Applicable,,07/01/2023,06/30/2024
YES,330199,METROPOLITAN HOSPITAL CENTER,1901 FIRST AVENUE,NEW YORK,NY,10029,NEW YORK,(212) 423-6262,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",No Different Than the National Rate,62,13.1,9.4,18.3,Not Applicable,Not Applicable,,01/01/2021,12/31/2023
YES,330199,METROPOLITAN HOSPITAL CENTER,1901 FIRST AVENUE,NEW YORK,NY,10029,NEW YORK,(212) 423-6262,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,1,01/01/2023,12/31/2023
YES,330199,METROPOLITAN HOSPITAL CENTER,1901 FIRST AVENUE,NEW YORK,NY,10029,NEW YORK,(212) 423-6262,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,1,01/01/2023,12/31/2023
YES,330199,METROPOLITAN HOSPITAL CENTER,1901 FIRST AVENUE,NEW YORK,NY,10029,NEW YORK,(212) 423-6262,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,Number of cases too small,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,1,01/01/2023,12/31/2023
YES,330199,METROPOLITAN HOSPITAL CENTER,1901 FIRST AVENUE,NEW YORK,NY,10029,NEW YORK,(212) 423-6262,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,1,07/01/2021,06/30/2024
YES,330199,METROPOLITAN HOSPITAL CENTER,1901 FIRST AVENUE,NEW YORK,NY,10029,NEW YORK,(212) 423-6262,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,5,07/01/2021,06/30/2024
YES,330199,METROPOLITAN HOSPITAL CENTER,1901 FIRST AVENUE,NEW YORK,NY,10029,NEW YORK,(212) 423-6262,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,1,07/01/2021,06/30/2024
YES,330199,METROPOLITAN HOSPITAL CENTER,1901 FIRST AVENUE,NEW YORK,NY,10029,NEW YORK,(212) 423-6262,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,28,19.2,15.8,23.1,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330199,METROPOLITAN HOSPITAL CENTER,1901 FIRST AVENUE,NEW YORK,NY,10029,NEW YORK,(212) 423-6262,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,1,07/01/2021,06/30/2024
YES,330199,METROPOLITAN HOSPITAL CENTER,1901 FIRST AVENUE,NEW YORK,NY,10029,NEW YORK,(212) 423-6262,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,1,07/01/2021,06/30/2024
YES,330023,VASSAR BROTHERS MEDICAL CENTER,45 READE PLACE,POUGHKEEPSIE,NY,12601,DUTCHESS,(845) 454-8500,EDAC_30_AMI,Hospital return days for heart attack patients,More Days Than Average per 100 Discharges,425,11.6,2.4,21.9,408,102,,07/01/2021,06/30/2024
YES,330023,VASSAR BROTHERS MEDICAL CENTER,45 READE PLACE,POUGHKEEPSIE,NY,12601,DUTCHESS,(845) 454-8500,EDAC_30_HF,Hospital return days for heart failure patients,Average Days per 100 Discharges,1225,-5.4,-12.1,1.9,966,298,,07/01/2021,06/30/2024
YES,330023,VASSAR BROTHERS MEDICAL CENTER,45 READE PLACE,POUGHKEEPSIE,NY,12601,DUTCHESS,(845) 454-8500,EDAC_30_PN,Hospital return days for pneumonia patients,More Days Than Average per 100 Discharges,908,29.5,21.3,37.5,817,217,,07/01/2021,06/30/2024
YES,330023,VASSAR BROTHERS MEDICAL CENTER,45 READE PLACE,POUGHKEEPSIE,NY,12601,DUTCHESS,(845) 454-8500,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),No Different Than the National Rate,5206,15.8,15.0,16.6,Not Applicable,Not Applicable,,07/01/2023,06/30/2024
YES,330023,VASSAR BROTHERS MEDICAL CENTER,45 READE PLACE,POUGHKEEPSIE,NY,12601,DUTCHESS,(845) 454-8500,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",No Different Than the National Rate,539,13.5,10.2,18.3,Not Applicable,Not Applicable,,01/01/2021,12/31/2023
YES,330023,VASSAR BROTHERS MEDICAL CENTER,45 READE PLACE,POUGHKEEPSIE,NY,12601,DUTCHESS,(845) 454-8500,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,No Different Than the National Rate,206,13.3,10.3,16.8,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330023,VASSAR BROTHERS MEDICAL CENTER,45 READE PLACE,POUGHKEEPSIE,NY,12601,DUTCHESS,(845) 454-8500,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,No Different Than the National Rate,206,5.5,3.8,7.7,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330023,VASSAR BROTHERS MEDICAL CENTER,45 READE PLACE,POUGHKEEPSIE,NY,12601,DUTCHESS,(845) 454-8500,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,No Different than expected,459,1.2,0.9,1.6,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330023,VASSAR BROTHERS MEDICAL CENTER,45 READE PLACE,POUGHKEEPSIE,NY,12601,DUTCHESS,(845) 454-8500,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,No Different Than the National Rate,425,13.7,11.7,16.2,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330023,VASSAR BROTHERS MEDICAL CENTER,45 READE PLACE,POUGHKEEPSIE,NY,12601,DUTCHESS,(845) 454-8500,READM_30_CABG,Rate of readmission for CABG,No Different Than the National Rate,127,11.8,9.0,15.4,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330023,VASSAR BROTHERS MEDICAL CENTER,45 READE PLACE,POUGHKEEPSIE,NY,12601,DUTCHESS,(845) 454-8500,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,No Different Than the National Rate,253,19.3,16.6,22.3,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330023,VASSAR BROTHERS MEDICAL CENTER,45 READE PLACE,POUGHKEEPSIE,NY,12601,DUTCHESS,(845) 454-8500,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,1225,18.7,16.9,20.6,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330023,VASSAR BROTHERS MEDICAL CENTER,45 READE PLACE,POUGHKEEPSIE,NY,12601,DUTCHESS,(845) 454-8500,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,1,07/01/2021,06/30/2024
YES,330023,VASSAR BROTHERS MEDICAL CENTER,45 READE PLACE,POUGHKEEPSIE,NY,12601,DUTCHESS,(845) 454-8500,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,No Different Than the National Rate,908,17.5,15.6,19.4,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,EDAC_30_AMI,Hospital return days for heart attack patients,More Days Than Average per 100 Discharges,316,21.4,9.1,34.3,309,81,,07/01/2021,06/30/2024
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,EDAC_30_HF,Hospital return days for heart failure patients,Fewer Days Than Average per 100 Discharges,902,-17.3,-24.9,-9,696,194,,07/01/2021,06/30/2024
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,EDAC_30_PN,Hospital return days for pneumonia patients,More Days Than Average per 100 Discharges,854,11.5,3.7,19.6,774,178,,07/01/2021,06/30/2024
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),No Different Than the National Rate,5658,15.5,14.8,16.3,Not Applicable,Not Applicable,,07/01/2023,06/30/2024
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",No Different Than the National Rate,754,11.1,8.4,14.9,Not Applicable,Not Applicable,,01/01/2021,12/31/2023
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,No Different Than the National Rate,338,13.3,10.6,16.5,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,No Different Than the National Rate,338,4.1,2.8,5.9,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,No Different than expected,591,0.7,0.5,1,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,No Different Than the National Rate,316,14.7,12.4,17.3,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,READM_30_CABG,Rate of readmission for CABG,No Different Than the National Rate,76,11.5,8.4,15.6,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,Worse Than the National Rate,273,21,18.3,24.1,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,902,18.4,16.5,20.4,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,No Different Than the National Rate,383,4.7,3.4,6.6,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,No Different Than the National Rate,854,15.4,13.7,17.3,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,EDAC_30_AMI,Hospital return days for heart attack patients,More Days Than Average per 100 Discharges,316,21.4,9.1,34.3,309,81,,07/01/2021,06/30/2024
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,EDAC_30_HF,Hospital return days for heart failure patients,Fewer Days Than Average per 100 Discharges,902,-17.3,-24.9,-9,696,194,,07/01/2021,06/30/2024
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,EDAC_30_PN,Hospital return days for pneumonia patients,More Days Than Average per 100 Discharges,854,11.5,3.7,19.6,774,178,,07/01/2021,06/30/2024
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),No Different Than the National Rate,5658,15.5,14.8,16.3,Not Applicable,Not Applicable,,07/01/2023,06/30/2024
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",No Different Than the National Rate,754,11.1,8.4,14.9,Not Applicable,Not Applicable,,01/01/2021,12/31/2023
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,No Different Than the National Rate,338,13.3,10.6,16.5,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,No Different Than the National Rate,338,4.1,2.8,5.9,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,No Different than expected,591,0.7,0.5,1,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,No Different Than the National Rate,316,14.7,12.4,17.3,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,READM_30_CABG,Rate of readmission for CABG,No Different Than the National Rate,76,11.5,8.4,15.6,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,Worse Than the National Rate,273,21,18.3,24.1,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,902,18.4,16.5,20.4,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,No Different Than the National Rate,383,4.7,3.4,6.6,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,No Different Than the National Rate,854,15.4,13.7,17.3,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,EDAC_30_AMI,Hospital return days for heart attack patients,More Days Than Average per 100 Discharges,316,21.4,9.1,34.3,309,81,,07/01/2021,06/30/2024
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,EDAC_30_HF,Hospital return days for heart failure patients,Fewer Days Than Average per 100 Discharges,902,-17.3,-24.9,-9,696,194,,07/01/2021,06/30/2024
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,EDAC_30_PN,Hospital return days for pneumonia patients,More Days Than Average per 100 Discharges,854,11.5,3.7,19.6,774,178,,07/01/2021,06/30/2024
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),No Different Than the National Rate,5658,15.5,14.8,16.3,Not Applicable,Not Applicable,,07/01/2023,06/30/2024
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",No Different Than the National Rate,754,11.1,8.4,14.9,Not Applicable,Not Applicable,,01/01/2021,12/31/2023
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,No Different Than the National Rate,338,13.3,10.6,16.5,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,No Different Than the National Rate,338,4.1,2.8,5.9,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,No Different than expected,591,0.7,0.5,1,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,No Different Than the National Rate,316,14.7,12.4,17.3,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,READM_30_CABG,Rate of readmission for CABG,No Different Than the National Rate,76,11.5,8.4,15.6,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,Worse Than the National Rate,273,21,18.3,24.1,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,902,18.4,16.5,20.4,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,No Different Than the National Rate,383,4.7,3.4,6.6,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,No Different Than the National Rate,854,15.4,13.7,17.3,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,EDAC_30_AMI,Hospital return days for heart attack patients,More Days Than Average per 100 Discharges,316,21.4,9.1,34.3,309,81,,07/01/2021,06/30/2024
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,EDAC_30_HF,Hospital return days for heart failure patients,Fewer Days Than Average per 100 Discharges,902,-17.3,-24.9,-9,696,194,,07/01/2021,06/30/2024
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,EDAC_30_PN,Hospital return days for pneumonia patients,More Days Than Average per 100 Discharges,854,11.5,3.7,19.6,774,178,,07/01/2021,06/30/2024
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),No Different Than the National Rate,5658,15.5,14.8,16.3,Not Applicable,Not Applicable,,07/01/2023,06/30/2024
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",No Different Than the National Rate,754,11.1,8.4,14.9,Not Applicable,Not Applicable,,01/01/2021,12/31/2023
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,No Different Than the National Rate,338,13.3,10.6,16.5,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,No Different Than the National Rate,338,4.1,2.8,5.9,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,No Different than expected,591,0.7,0.5,1,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,No Different Than the National Rate,316,14.7,12.4,17.3,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,READM_30_CABG,Rate of readmission for CABG,No Different Than the National Rate,76,11.5,8.4,15.6,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,Worse Than the National Rate,273,21,18.3,24.1,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,902,18.4,16.5,20.4,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,No Different Than the National Rate,383,4.7,3.4,6.6,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,No Different Than the National Rate,854,15.4,13.7,17.3,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330086,MONTEFIORE MOUNT VERNON HOSPITAL,12 NORTH 7TH AVENUE,MOUNT VERNON,NY,10550,WESTCHESTER,(914) 664-8000,EDAC_30_AMI,Hospital return days for heart attack patients,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1,07/01/2021,06/30/2024
YES,330086,MONTEFIORE MOUNT VERNON HOSPITAL,12 NORTH 7TH AVENUE,MOUNT VERNON,NY,10550,WESTCHESTER,(914) 664-8000,EDAC_30_HF,Hospital return days for heart failure patients,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1,07/01/2021,06/30/2024
YES,330086,MONTEFIORE MOUNT VERNON HOSPITAL,12 NORTH 7TH AVENUE,MOUNT VERNON,NY,10550,WESTCHESTER,(914) 664-8000,EDAC_30_PN,Hospital return days for pneumonia patients,Average Days per 100 Discharges,28,-24.8,-49.9,10.4,24,7,,07/01/2021,06/30/2024
YES,330086,MONTEFIORE MOUNT VERNON HOSPITAL,12 NORTH 7TH AVENUE,MOUNT VERNON,NY,10550,WESTCHESTER,(914) 664-8000,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),No Different Than the National Rate,140,14.9,13.0,17.0,Not Applicable,Not Applicable,,07/01/2023,06/30/2024
YES,330086,MONTEFIORE MOUNT VERNON HOSPITAL,12 NORTH 7TH AVENUE,MOUNT VERNON,NY,10550,WESTCHESTER,(914) 664-8000,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,1,01/01/2021,12/31/2023
YES,330086,MONTEFIORE MOUNT VERNON HOSPITAL,12 NORTH 7TH AVENUE,MOUNT VERNON,NY,10550,WESTCHESTER,(914) 664-8000,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,5,01/01/2023,12/31/2023
YES,330086,MONTEFIORE MOUNT VERNON HOSPITAL,12 NORTH 7TH AVENUE,MOUNT VERNON,NY,10550,WESTCHESTER,(914) 664-8000,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,5,01/01/2023,12/31/2023
YES,330086,MONTEFIORE MOUNT VERNON HOSPITAL,12 NORTH 7TH AVENUE,MOUNT VERNON,NY,10550,WESTCHESTER,(914) 664-8000,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,Number of cases too small,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,1,01/01/2023,12/31/2023
